Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID,Subjects
34507,"Equal Rites (Discworld, #3; Witches, #1)",Terry Pratchett,"Pratchett, Terry",,"=""0060855908""","=""9780060855901""",5,4.03,Harper Perennial,Paperback,240,2005,1987,,2021/01/05,,,read,,,,1,,,0,,,,,,"margaret a. edwards award~fiction, humorous, general~fiction~discworld (imaginary place), fiction~fiction, fantasy, general~discworld (imaginary place)~literature and fiction, fantasy~fiction, science fiction, general~fiction, satire~fantasy fiction~protected daisy~fantasy~fiction, humorous~science fiction~english fantasy fiction~translations into spanish~wizards~translations from english~accessible book~granny weatherwax (fictitious character), fiction~samuel vimes (fictitious character)~spanish fantasy fiction"
34506,"The Light Fantastic (Discworld, #2; Rincewind #2)",Terry Pratchett,"Pratchett, Terry",,"=""0061020702""","=""9780061020704""",4,3.98,HarperTorch,Mass Market Paperback,277,2000,1986,,2021/01/02,,,read,,,,1,,,0,,,,,,"literature and fiction, fantasy~protected daisy~fiction, humorous, general~fantasy~fiction~fiction, humorous~discworld (imaginary place), fiction~fiction, fantasy, general~accessible book~discworld (imaginary place)~samuel vimes (fictitious character)~rincewind the wizard (fictitious character), fiction"
34497,"The Color of Magic (Discworld, #1; Rincewind, #1)",Terry Pratchett,"Pratchett, Terry",,"=""0060855924""","=""9780060855925""",4,3.99,Harper,Paperback,228,2005,1983,,2021/01/02,,,read,,,,1,,,0,,,,,,
22544764,Uprooted,Naomi Novik,"Novik, Naomi",,"=""0804179034""","=""9780804179034""",4,4.05,Del Rey,Hardcover,438,2015,2015,,2020/12/30,,,read,,,,1,,,0,,,,,,"protected daisy~friendship~award:nebula_award=novel~wizards~fiction~fiction / fantasy / epic~fiction, fantasy, general~accessible book~fiction / adventure~fiction / romance / fantasy~young women"
2122,The Fountainhead,Ayn Rand,"Rand, Ayn",Leonard Peikoff,"=""""","=""""",5,3.88,Signet Book,Mass Market Paperback,704,1996,1943,,2020/12/18,,,read,,,,1,,,0,,,,,,
22673,A New Guide to Rational Living,Albert Ellis,"Ellis, Albert","Melvin Powers, Robert A. Harper","=""""","=""""",0,4.06,Wilshire Book Company,Paperback,233,1975,1961,,2020/11/09,to-read,to-read (#5),to-read,,,,0,,,0,,,,,,
294035,Frames of Mind: The Theory of Multiple Intelligences,Howard Gardner,"Gardner, Howard",,"=""0465025102""","=""9780465025107""",0,4.01,Basic Books,Paperback,496,1993,1983,,2020/11/06,to-read,to-read (#4),to-read,,,,0,,,0,,,,,,"""~="
18872437,The Millionaire Fastlane: Crack the Code to Wealth and Live Rich for a Lifetime!,M.J. DeMarco,"DeMarco, M.J.",,"=""0984358102""","=""9780984358106""",0,4.3,Viperion Publishing Corp,Paperback,322,2011,2010,2020/11/05,2020/11/05,,,read,,,,1,,,0,,,,,,"""~="
38099642,"Holy Sister (Book of the Ancestor, #3)",Mark  Lawrence,"Lawrence, Mark",,"=""0008152403""","=""9780008152406""",5,4.33,Harper Voyager,Paperback,352,2019,2019,,2020/07/18,,,read,,,,1,,,0,,,,,,"fiction, action & adventure~american literature~fiction, fantasy, general~fiction, fantasy, epic~fiction, fantasy, dark fantasy"
35530652,"Grey Sister (Book of the Ancestor, #2)",Mark  Lawrence,"Lawrence, Mark",,"=""0008152349""","=""9780008152345""",5,4.39,Ace,Hardcover,416,2018,2018,,2020/07/14,,,read,,,,1,,,0,,,,,,"convents~fiction, fantasy, epic~fiction~assassins"
25895524,"Red Sister (Book of the Ancestor, #1)",Mark  Lawrence,"Lawrence, Mark",,"=""1101988851""","=""9781101988855""",5,4.16,Ace,Hardcover,467,2017,2017,,2020/07/01,,,read,,,,1,,,0,,,,,,"convents~fiction, fantasy, general~fiction~assassins"
13578175,The Emperor's Soul,Brandon Sanderson,"Sanderson, Brandon",,"=""1616960922""","=""9781616960926""",4,4.35,Tachyon Publications,Paperback,175,2012,2012,,2020/07/01,,,read,,,,1,,,0,,,,,,"fiction, fantasy, general~fiction~forgers~forgery"
68418,"The Dark Elf Trilogy Collector's Edition (Forgotten Realms: Dark Elf Trilogy, #1-3; Legend of Drizzt, #1-3)",R.A. Salvatore,"Salvatore, R.A.",,"=""0786915889""","=""9780786915880""",4,4.35,Wizards of the Coast,Paperback,808,2000,1995,,2020/06/20,,,read,,,,1,,,0,,,,,,
66693,"The Crystal Shard (Forgotten Realms: Icewind Dale, #1; Legend of Drizzt, #4)",R.A. Salvatore,"Salvatore, R.A.",,"=""0786942460""","=""9780786942466""",4,4.11,Wizards of the Coast,Mass Market Paperback,344,2007,1988,2020/07/01,2020/06/28,,,read,,,,1,,,0,,,,,,"goblins~orcs~american fantasy~fiction~war~fiction, fantasy, general~american authors~epic fantasy~epic~open library staff picks~protected daisy~fantasy~adventure~magical thinking~dungeons & dragons~epic fiction~artemis entrei (fictitious character)~dwarfs~elves~forgotten realms (imaginary place)~drow~drizzt do'urden (fictitious character)~wizards~sorcery~magic~american fiction~accessible book"
66695,"Sojourn (Forgotten Realms: The Dark Elf Trilogy, #3; Legend of Drizzt, #3)",R.A. Salvatore,"Salvatore, R.A.",,"=""1560760478""","=""9781560760474""",4,4.2,Wizards of the Coast,Mass Market Paperback,309,1999,1991,,2020/06/28,,,read,,,,1,,,0,,,,,,"forgotten realms (imaginary place)~protected daisy~drizzt do'urden (fictitious character)~fantasy~fiction~fiction, fantasy, general~accessible book"
66678,"Exile (Forgotten Realms: The Dark Elf Trilogy, #2; Legend of Drizzt, #2)",R.A. Salvatore,"Salvatore, R.A.",,"=""0786939834""","=""9780786939831""",4,4.21,Wizards of the Coast,Mass Market Paperback,343,2006,1990,,2020/06/28,,,read,,,,1,,,0,,,,,,"forgotten realms (imaginary place)~protected daisy~drizzt do'urden (fictitious character)~fantasy~fiction~fiction, fantasy, general~accessible book"
50027,"Homeland (Forgotten Realms: The Dark Elf Trilogy, #1; Legend of Drizzt, #1)",R.A. Salvatore,"Salvatore, R.A.",,"=""""","=""""",4,4.25,Wizards of the Coast,Mass Market Paperback,343,2005,1990,,2020/06/28,,,read,,,,1,,,0,,,,,,
30841984,"Kings of the Wyld (The Band, #1)",Nicholas Eames,"Eames, Nicholas",,"=""0316362476""","=""9780316362474""",0,4.29,Orbit,Paperback,502,2017,2017,,2020/06/20,to-read,to-read (#3),to-read,,,,0,,,0,,,,,,"protected daisy~fiction~accessible book~mercenary troops~fiction, fantasy, epic"
4345290,"The Crown Conspiracy (The Riyria Revelations, #1)",Michael J. Sullivan,"Sullivan, Michael J.",,"=""0980003431""","=""9780980003437""",5,4.19,Aspirations Media Inc,Paperback,296,2008,2008,,2020/06/20,,,read,,,,1,,,0,,,,,,
618177,"Legend (The Drenai Saga, #1)",David Gemmell,"Gemmell, David",,"=""""","=""""",4,4.27,Ballantine Books,Mass Market Paperback,345,1994,1984,2020/06/20,2020/06/18,,,read,,,,1,,,0,,,,,,
11100431,"Heir of Novron (The Riyria Revelations, #5-6)",Michael J. Sullivan,"Sullivan, Michael J.",,"=""0316187712""","=""9780316187718""",0,4.49,Orbit,Paperback,932,2012,2012,,2020/06/18,,,read,,,,1,,,0,,,,,,"fiction, fantasy, general"
10790277,"Rise of Empire (The Riyria Revelations, #3-4)",Michael J. Sullivan,"Sullivan, Michael J.",,"=""0316187704""","=""9780316187701""",5,4.37,Orbit,Paperback,786,2011,2010,,2020/06/13,,,read,,,,1,,,0,,,,,,"fiction, fantasy, general"
10790290,"Theft of Swords (The Riyria Revelations, #1-2)",Michael J. Sullivan,"Sullivan, Michael J.",,"=""0316187747""","=""9780316187749""",5,4.2,Orbit,Paperback,649,2011,2011,,2020/06/13,,,read,,,,1,,,0,,,,,,
17163514,"The Rose and the Thorn (The Riyria Chronicles, #2)",Michael J. Sullivan,"Sullivan, Michael J.",,"=""0356502287""","=""9780356502281""",4,4.4,Orbit,Paperback,347,2013,2013,,2020/06/13,,,read,,,,1,,,0,,,,,,"fiction, fantasy, general"
16043804,"The Crown Tower (The Riyria Chronicles, #1)",Michael J. Sullivan,"Sullivan, Michael J.",,"=""031624371X""","=""9780316243711""",4,4.33,Orbit ,Paperback,384,2013,2013,,2020/05/25,,,read,,,,1,,,0,,,,,,"fiction, fantasy, general"
15985373,"Emperor of Thorns (The Broken Empire, #3)",Mark  Lawrence,"Lawrence, Mark",,"=""0425256855""","=""9780425256855""",5,4.24,Ace,Hardcover,434,2013,2013,,2020/05/10,,,read,,,,1,,,0,,,,,,"kings and rulers~protected daisy~wizards~fiction~magic~fiction, fantasy, general~accessible book"
12891107,"King of Thorns (The Broken Empire, #2)",Mark  Lawrence,"Lawrence, Mark",,"=""1937007472""","=""9781937007478""",4,4.19,Ace Books,Hardcover,449,2012,2012,,2020/05/05,,,read,,,,1,,,0,,,,,,"protected daisy~princes~fiction~fiction, fantasy, general~accessible book~revenge"
9579634,"Prince of Thorns (The Broken Empire, #1)",Mark  Lawrence,"Lawrence, Mark",,"=""0007423292""","=""9780007423293""",4,3.85,Voyager,Hardcover,373,2011,2011,,2020/05/01,,,read,,,,1,,,0,,,,,,"fiction, fantasy, general~princes~fiction~revenge"
14201,Jonathan Strange & Mr Norrell,Susanna Clarke,"Clarke, Susanna",,"=""""","=""""",0,3.84,Tor Books,Paperback,1006,2006,2004,,2020/05/01,,,read,,,,1,,,0,,,,,,
55399,"Gardens of the Moon (Malazan Book of the Fallen, #1)",Steven Erikson,"Erikson, Steven",,"=""0765348780""","=""9780765348784""",4,3.9,Tor Books,Mass Market Paperback,657,2005,1999,,2020/01/11,,,read,,,,1,,,0,,,,,,fantasy~accessible book~fiction~protected daisy
18116,His Dark Materials (His Dark Materials #1-3),Philip Pullman,"Pullman, Philip",,"=""0440238609""","=""9780440238607""",5,4.27,Laurel Leaf Library,Mass Market Paperback,1088,2003,2000,,2019/12/22,,,read,,,,1,,,0,,,,,,"english drama~drama~fiction~children's stories, english~general~new york times reviewed~kidnapping~fantasy & magic~drama texts: from c 1900 -~missing persons~american~plays / drama~experimental psychobiology~action & adventure~fantasy fiction~protected daisy~juvenile fiction~fantasy~self-esteem & self-reliance~children's plays~adaptations~non-classifiable~experiments~good and evil~belacqua, lyra (fictitious character), fiction~social themes~magic~accessible book~drama / general~children's fiction~plays"
44687,"Enchanters' End Game (The Belgariad, #5)",David Eddings,"Eddings, David",,"=""0345300785""","=""9780345300782""",0,4.17,Ballantine Books (Mm),Mass Market Paperback,384,1984,1984,,2019/12/22,,,read,,,,1,,,0,,,,,,accessible book~protected daisy
645023,"Castle of Wizardry (The Belgariad, #4)",David Eddings,"Eddings, David",,"=""0345335708""","=""9780345335708""",0,4.15,Del Rey,Mass Market Paperback,375,1984,1984,,2019/12/22,,,read,,,,1,,,0,,,,,,"fantasy fiction~protected daisy~garion (fictitious character), fiction~quests (expeditions)~fantasy~wizards~fiction~magic~witchcraft~accessible book~fiction, fantasy, epic"
44688,"Magician's Gambit (The Belgariad, #3)",David Eddings,"Eddings, David",,"=""0345335457""","=""9780345335456""",0,4.13,Del Rey,Mass Market Paperback,305,1983,1983,,2019/12/22,,,read,,,,1,,,0,,,,,,"fantastic fiction~protected daisy~garion (fictitious character), fiction~quests (expeditions)~fantasy~wizards~fiction~magic~fiction, fantasy, epic~fiction, fantasy, general~accessible book~imaginary places~imaginary wars and battles~theft"
587582,"Queen of Sorcery (The Belgariad, #2)",David Eddings,"Eddings, David",,"=""0345335651""","=""9780345335654""",5,4.13,Del Rey,Mass Market Paperback,326,1982,1982,,2019/12/12,,,read,,,,1,,,0,,,,,,"protected daisy~garion (fictitious character), fiction~quests (expeditions)~fantasy~wizards~fiction~magic~fiction, fantasy, general~accessible book~goddesses~gods~fiction, fantasy, epic"
44659,"Pawn of Prophecy (The Belgariad, #1)",David Eddings,"Eddings, David",,"=""0345468643""","=""9780345468642""",4,4.15,Del Rey Books,Paperback,290,2004,1982,,2019/12/12,,,read,,,,1,,,0,,,,,,"literature~buildungsroman~fantasy fiction~good and evil~garion (fictitious character), fiction~high fantasy~juvenile fiction~protected daisy~fiction~magic~fiction, fantasy, general~accessible book~fiction, fantasy, epic~heroes"
15767706,Mr Happy and the Hammer of God,Martin Egblewogbe,"Egblewogbe, Martin",,"=""9789988117""","=""""",4,4.11,,Paperback,126,2008,2008,,2017/08/25,,,read,,,,1,,,0,,,,,,"fiction, general"
92121,Nine Princes in Amber (The Chronicles of Amber #1),Roger Zelazny,"Zelazny, Roger",Tim          White,"=""0380014300""","=""9780380014309""",0,4.06,Avon,Mass Market Paperback,175,1986,1970,,2019/11/03,,,read,,,,1,,,0,,,,,,"amber (imaginary place), fiction~parallel worlds~protected daisy~reading level-grade 11~fiction, science fiction, general~fantasy~reading level-grade 12~fiction~amber (imaginary place)~corwin (fictitious character : zelazny), fiction~accessible book~large type books~reading level-grade 10"
18122,"The Amber Spyglass (His Dark Materials, #3)",Philip Pullman,"Pullman, Philip",,"=""0440238153""","=""9780440238157""",5,4.09,Laurel Leaf,Mass Market Paperback,465,2003,2000,,2019/07/27,,,read,,,,1,,,0,,,,,,"traducciones al español~quests (expeditions)~reading level-grade 12~fiction~lugares imaginarios~fiction, fantasy, general~witches~niños~kidnapping~novela fantástica~reading level-grade 11~missing persons~magia~imaginary places~familiars (spirits)~demonology~novela fantástica inglesa~belacqua, lyra (personaje literario)~fantasy fiction~protected daisy~juvenile fiction~fantasy~will parry (fictitious character)~children~parry, will (personaje literario)~experiments~bien y mal~science fiction~science fiction, fantasy, horror~young adult fiction~good and evil~belacqua, lyra (fictitious character), fiction~magic~lyra belacqua (fictitious character)~ficción juvenil~accessible book~large type books~children's fiction"
41637836,"The Subtle Knife (His Dark Materials, #2)",Philip Pullman,"Pullman, Philip",,"=""""","=""""",5,4.14,RHCP Digital,Kindle Edition,370,2018,1997,,2019/07/25,,,read,,,,1,,,0,,,,,,
119322,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,"Pullman, Philip",,"=""0679879242""","=""9780679879244""",4,4.0,Alfred A. Knopf Books for Young Readers,Hardcover,399,1996,1995,,2019/07/25,,,read,,,,1,,,0,,,,,,"comic books, strips, etc.~adventure and adventurers, fiction~fantasy fiction"
34728667,"Children of Blood and Bone (Legacy of Orïsha, #1)",Tomi Adeyemi,"Adeyemi, Tomi",,"=""1250170974""","=""9781250170972""",3,4.1,Henry Holt Company,Hardcover,544,2018,2018,,2019/07/17,,,read,,,,1,,,0,,,,,,"fantasy fiction~magic, fiction~fantasy~sci-fi~children's fiction~young adult"
16096968,"The Core (The Demon Cycle, #5)",Peter V. Brett,"Brett, Peter V.",,"=""0345531507""","=""9780345531506""",5,4.17,Del Rey,Hardcover,781,2017,2017,,2019/07/05,,,read,,,,1,,,0,,,,,,"fiction, fantasy, general~demonology~fiction, fantasy, epic~fiction"
13630171,"The Skull Throne (Demon Cycle, #4)",Peter V. Brett,"Brett, Peter V.",,"=""0345531485""","=""9780345531483""",5,4.14,Del Rey,Hardcover,681,2015,2015,,2019/06/29,,,read,,,,1,,,0,,,,,,"fiction / action & adventure~protected daisy~fiction / science fiction / adventure~fiction / fantasy / epic~fiction~magic~fiction, fantasy, general~new york times bestseller~accessible book~nyt:hardcover-fiction=2015-04-19~demonology"
9268487,"The Daylight War (Demon Cycle, #3)",Peter V. Brett,"Brett, Peter V.",,"=""0345503821""","=""9780345503824""",5,4.21,Random House Del Ray,Hardcover,639,2013,2013,,2019/06/26,,,read,,,,1,,,0,,,,,,"protected daisy~fiction~fiction, fantasy, general~accessible book~demonology"
6736971,"The Desert Spear (Demon Cycle, #2)",Peter V. Brett,"Brett, Peter V.",,"=""0345503813""","=""9780345503817""",5,4.2,Del Rey,Hardcover,579,2010,2010,,2019/06/22,,,read,,,,1,,,0,,,,,,"protected daisy~fantasy~fiction~fiction, fantasy, general~messiah~accessible book~pseudo-messiahs~demonology"
3322866,"The Painted Man (Demon Cycle, #1)",Peter V. Brett,"Brett, Peter V.",,"=""0007287755""","=""9780007287758""",5,4.24,Harper Voyager,ebook,416,2009,2008,,2019/06/22,,,read,,,,1,,,0,,,,,,"fiction, fantasy, paranormal~protected daisy~fantasy~fiction~magic~fiction, fantasy, general~accessible book~demonology~fiction, fantasy, epic"
13569581,"Blood Song (Raven's Shadow, #1)",Anthony Ryan,"Ryan, Anthony",,"=""""","=""""",5,4.4,Anthony  Ryan,Kindle Edition,591,2012,2011,,2017/10/25,,,read,,,,1,,,0,,,,,,
34311452,"Year One (Chronicles of The One, #1)",Nora Roberts,"Roberts, Nora",,"=""1250122953""","=""9781250122957""",4,4.03,St. Martin's Press,Hardcover,419,2017,2017,,2019/06/03,,,read,,,,1,,,0,,,,,,"survival~epidemics~good and evil~nyt:hardcover-fiction=2017-12-24~compact discs~protected daisy~fantasy~suspense / thriller~fiction~magic~fiction, dystopian~fiction / fantasy / epic~new york times bestseller~fiction / thrillers / suspense~accessible book~large type books~fiction, fantasy, epic"
944076,"Last Argument of Kings (The First Law, #3)",Joe Abercrombie,"Abercrombie, Joe",,"=""0575077905""","=""9780575077904""",5,4.3,Gollancz,Trade Paperback,536,2008,2008,,2019/06/03,,,read,,,,1,,,0,,,,,,"fiction, war & military~protected daisy~fiction, fantasy, historical~fiction, fantasy, general~accessible book"
75479,The End of Alice,A.M. Homes,"Homes, A.M.",,"=""0684827107""","=""9780684827100""",0,3.58,Scribner,Paperback,272,1997,1996,,2019/05/25,,,read,,,,1,,,0,,,,,,prisoners~fiction~murderers~child molesters
902715,"Before They Are Hanged (The First Law, #2)",Joe Abercrombie,"Abercrombie, Joe",,"=""0575077883""","=""9780575077881""",4,4.31,Gollancz,Trade Paperback,441,2007,2007,,2019/05/24,,,read,,,,1,,,0,,,,,,"fiction, war & military~protected daisy~fiction, action & adventure~fiction, fantasy, general~accessible book~fiction, fantasy, epic"
944073,"The Blade Itself (The First Law, #1)",Joe Abercrombie,"Abercrombie, Joe",,"=""0575079797""","=""9780575079793""",4,4.18,Gollancz,Paperback,515,2007,2006,,2019/05/14,,,read,,,,1,,,0,,,,,,"fantasy fiction~protected daisy~fantasy~fiction~fiction, fantasy, general~accessible book"
29396,"Furies of Calderon (Codex Alera, #1)",Jim Butcher,"Butcher, Jim",,"=""044101268X""","=""9780441012688""",0,4.12,Ace,Paperback,688,2005,2004,,2019/04/26,,,read,,,,1,,,0,,,,,,"succession~boys~kings and rulers~kings and rulers in fiction~protected daisy~juvenile fiction~fiction~magic~fiction, fantasy, general~accessible book~boys in fiction"
26887738,The Truth: An Uncomfortable Book About Relationships,Neil Strauss,"Strauss, Neil",,"=""0060898763""","=""9780060898762""",4,4.14,"Dey St. Books, an imprint of William Morrow Publishers",Hardcover,448,2015,2015,,2019/02/16,,,read,,,,1,,,0,,,,,,"""~="
18143977,All the Light We Cannot See,Anthony Doerr,"Doerr, Anthony",,"=""1476746583""","=""9781476746586""",3,4.32,Scribner,Hardcover,531,2014,2014,,2019/01/02,,,read,,,,1,,,0,,,,,,"germany, fiction~fathers and daughters~reading level-grade 12~fiction~fiction, historical, general~new york times reviewed~fiction / general~general~juventud~historical fiction~world war, 1939-1945~history~nyt:hardcover-fiction=2014-05-25~bildungsromans~amerikanisches englisch~historia~youth~tweede wereldoorlog~reading level-grade 11~novela~nyt:trade-fiction-paperback=2017-04-23~world war, 1939-1945, fiction~fiction / literary~reading level-grade 10~france, fiction~nyt:e-book-fiction=2014-06-08~people with disabilities~protected daisy~fiction / historical~fiction, historical~guerra mundial ii, 1939-1945~ciegos~friendship~18.06 anglo-american literature~children~new york times bestseller~historical~survival~reading level-grade 9~american fiction~roman~berliner mauer~blind~accessible book~large type books~novela histórica~literary"
43448,"Flowers in the Attic (Dollanganger, #1)",V.C. Andrews,"Andrews, V.C.",,"=""0743496310""","=""9780743496315""",4,3.83,Pocket Books,Paperback,389,1979,1979,,2018/12/28,,,read,,,,1,,,0,,,,,,"psychological fiction~grandparent and child~enfants~fiction~ficcion~abused children~series:dollanganger~incest~novela~abuso de niños~horror tales~abuelos~gothic fiction~social isolation~hermanos~child abuse~families~protected daisy~inheritance and succession~fiction, horror~doughnuts~brothers and sisters~dollanger family (fictitious characters), fiction~children~niños maltratados~grandparents~health and hygiene~american fiction~romans~accessible book~large type books~fiction in english"
69571,"Rich Dad, Poor Dad",Robert T. Kiyosaki,"Kiyosaki, Robert T.",Sharon L. Lechter,"=""0751532711""","=""9780751532715""",0,4.11,Time Warner Books UK,Paperback,195,2007,1997,,2018/12/16,,,read,,,,1,,,0,,,,,,"spanish language materials~protected daisy~financial security~personal finance~inversiones~ricos~success~financiering~rich people~riqueza~hacienda privada~accessible book~finance, personal~finanzas personales~investments~huishoudingen"
